"Var1","Freq","prop","sample"
"Myoepi",1556,0.117700453857791,"TCGA-AC-A23G"
"Plasma",1,7.5642965204236e-05,"TCGA-AC-A23G"
"Stromal",1932,0.146142208774584,"TCGA-AC-A23G"
"T",10,0.00075642965204236,"TCGA-AC-A23G"
"unassigned",5,0.00037821482602118,"TCGA-AC-A23G"
"B",66,0.00178267563406531,"TCGA-AC-A3QQ"
"DC_Mast",89,0.00240391108230019,"TCGA-AC-A3QQ"
"Macrophage",6199,0.16743645841774,"TCGA-AC-A3QQ"
"Malignant",14066,0.379925991950949,"TCGA-AC-A3QQ"
"Myoepi",3482,0.094049644815385,"TCGA-AC-A3QQ"
"Plasma",1,2.70102368797774e-05,"TCGA-AC-A3QQ"
"Stromal",11895,0.321286767684953,"TCGA-AC-A3QQ"
"T",1211,0.0327093968614105,"TCGA-AC-A3QQ"
"unassigned",14,0.000378143316316884,"TCGA-AC-A3QQ"
"B",122,0.00135336010471901,"TCGA-AC-A3YI"
"DC_Mast",465,0.00515829875978967,"TCGA-AC-A3YI"
"Macrophage",11214,0.124398198478025,"TCGA-AC-A3YI"
"Malignant",32990,0.365961884054756,"TCGA-AC-A3YI"
"Myoepi",11925,0.132285403678477,"TCGA-AC-A3YI"
"Plasma",14,0.000155303618574313,"TCGA-AC-A3YI"
"Stromal",29487,0.32710270006434,"TCGA-AC-A3YI"
"T",3857,0.0427861469172232,"TCGA-AC-A3YI"
"unassigned",72,0.000798704324096466,"TCGA-AC-A3YI"
"B",124,0.00124039692701665,"TCGA-AC-A8OS"
"DC_Mast",132,0.00132042253521127,"TCGA-AC-A8OS"
"Macrophage",4942,0.0494358194622279,"TCGA-AC-A8OS"
"Malignant",45148,0.451624519846351,"TCGA-AC-A8OS"
"Myoepi",13722,0.137263924455826,"TCGA-AC-A8OS"
"Plasma",23,0.000230073623559539,"TCGA-AC-A8OS"
"Stromal",33918,0.33928857234315,"TCGA-AC-A8OS"
"T",1868,0.0186859795134443,"TCGA-AC-A8OS"
"unassigned",91,0.000910291293213828,"TCGA-AC-A8OS"
"B",162,0.00162061583401693,"TCGA-AN-A0AK"
"DC_Mast",206,0.00206078309757708,"TCGA-AN-A0AK"
"Macrophage",2716,0.0271703247233949,"TCGA-AN-A0AK"
"Malignant",55438,0.554590744482903,"TCGA-AN-A0AK"
"Myoepi",14633,0.146385626538084,"TCGA-AN-A0AK"
"Plasma",47,0.0004701786678938,"TCGA-AN-A0AK"
"Stromal",24010,0.24019127268362,"TCGA-AN-A0AK"
"T",2674,0.0267501650627238,"TCGA-AN-A0AK"
"unassigned",76,0.000760288909785719,"TCGA-AN-A0AK"
"B",479,0.00479191676670668,"TCGA-AN-A0FD"
"DC_Mast",1029,0.0102941176470588,"TCGA-AN-A0FD"
"Macrophage",27427,0.27437975190076,"TCGA-AN-A0FD"
"Malignant",32686,0.326990796318527,"TCGA-AN-A0FD"
"Myoepi",5537,0.0553921568627451,"TCGA-AN-A0FD"
"Plasma",81,0.000810324129651861,"TCGA-AN-A0FD"
"Stromal",22181,0.221898759503802,"TCGA-AN-A0FD"
"T",10402,0.10406162464986,"TCGA-AN-A0FD"
"unassigned",138,0.00138055222088836,"TCGA-AN-A0FD"
"B",82,0.000820188643387979,"TCGA-AN-A0FJ"
"DC_Mast",139,0.00139031977354792,"TCGA-AN-A0FJ"
"Macrophage",1732,0.0173239845164388,"TCGA-AN-A0FJ"
"Malignant",62979,0.629934885023555,"TCGA-AN-A0FJ"
"Myoepi",16508,0.165117977134741,"TCGA-AN-A0FJ"
"Plasma",28,0.000280064414815408,"TCGA-AN-A0FJ"
"Stromal",17489,0.174930233953809,"TCGA-AN-A0FJ"
"T",906,0.00906208427938426,"TCGA-AN-A0FJ"
"unassigned",114,0.00114026226031987,"TCGA-AN-A0FJ"
"B",25,0.000250080025608195,"TCGA-AN-A0FK"
"DC_Mast",90,0.000900288092189501,"TCGA-AN-A0FK"
"Macrophage",1174,0.0117437580025608,"TCGA-AN-A0FK"
