"pred_type","gene","gene_set","model_id","cor_pearson","nrmse_sd","js_div","mi","ssim","auc_0"
"test","ABHD14A","All Genes","GHIST",0.111711725600903,1.05503973475678,0.719116860677181,0.00962205655530533,0.021478284317444,0.52771156126813
"test","ABHD14A","All Genes","GeneCodeR",0.0223171396287395,1.02963799820245,0.737630400120707,0.0253034207134006,0.00956759610100825,0.526000044464704
"test","ABHD14A","All Genes","HisToGene",0.0379095964953634,1.01386629193383,0.723645734686742,0.0296228881477498,0.0173411135042679,0.558305537115744
"test","ABHD14A","All Genes","Hist2ST",0.0531397716431361,1.00873724601959,0.724487945213323,0.0337055300331904,0.0192498629684975,0.587353867273944
"test","ABHD14A","All Genes","ST-Net",0.10057270832705,1.03787348896287,0.709668401249273,0.0333855986056495,0.041584439087408,0.588517038942571
"test","ABHD14A","All Genes","THItoGene",0.0381638952435478,1.01543181252521,0.726958747829836,0.0303560012671372,0.0131620488272786,0.562213368570355
"test","ABHD14A","All Genes","iStar",0.0199380962013628,1.21319439111924,0.835269811923017,0.0177226821531654,0.0393955285277398,0.512004794664523
"test","ABHD4","All Genes","DeepPT",0.0336591049900298,1.55969421264075,0.769752142200307,0.0289530055410219,0.0117455135506738,0.525502260019207
"test","ABHD4","All Genes","DeepSpaCE",0.0278663293895256,1.02195379833031,0.771164054089994,0.0275562771732729,0.00960030846134669,0.560273599461461
"test","ABHD4","All Genes","GHIST",0.0457995745693911,1.08007522715422,0.713042535628922,0.0104013363119175,0.011468653073816,0.515729025110159
"test","ABHD4","All Genes","GeneCodeR",0.0620514051939593,1.07418245894302,0.717346094393543,0.0256882899405508,0.0190289666539864,0.562022318225361
"test","ABHD4","All Genes","HisToGene",0.0682461765071191,1.0581147815472,0.709813815533619,0.0342482181051308,0.0269866067513171,0.58914450982942
"test","ABHD4","All Genes","Hist2ST",0.0781982366762704,1.0218006395051,0.698137599367911,0.0422052517401873,0.0309010763433798,0.610013391430846
"test","ABHD4","All Genes","ST-Net",0.0854825682545563,1.14059083916666,0.704438222407193,0.0305918485843269,0.0380240607519585,0.584757455397182
"test","ABHD4","All Genes","THItoGene",0.0438216949620832,1.02920637538495,0.713217786127395,0.0379717113958454,0.0236672052903717,0.559768326904305
"test","ABHD4","All Genes","iStar",0.0258984835008819,1.22942792799991,0.824120412472056,0.0210765992373164,0.0417452880332451,0.526356577364438
"test","ACAA1","All Genes","DeepPT",0.0909071765763402,1.17838787356202,0.523611751708277,0.0368573306662765,0.0483747440051224,0.560595610240877
