"x","y","celltype","model"
1183.153,110.34426,"Malignant","ground truth"
1704.9166,112.11667,"Malignant","ground truth"
1805.2821,114.290596,"Malignant","ground truth"
5883.479,112.985916,"T","ground truth"
6702.7505,105.60432,"Stromal","ground truth"
275.42374,114.61017,"Malignant","ground truth"
582,112,"Malignant","ground truth"
684.274,112.22603,"Malignant","ground truth"
695.8763,114.391754,"Malignant","ground truth"
721.9268,111.98781,"Malignant","ground truth"
805.8461,114.10256,"Malignant","ground truth"
825.29346,114.17391,"Malignant","ground truth"
1344.2972,111.37838,"T","ground truth"
1406.9186,114.16279,"Malignant","ground truth"
1522.3623,112.57971,"Malignant","ground truth"
609.41174,112.382355,"Malignant","ground truth"
1333.091,114.40909,"Macrophage","ground truth"
1606.7899,115.47899,"Malignant","ground truth"
240.28633,119.311966,"Malignant","ground truth"
267.55768,115.36539,"Malignant","ground truth"
844.81433,115.12052,"Malignant","ground truth"
1234.7294,114.94118,"Malignant","ground truth"
1263.4546,113.61364,"Malignant","ground truth"
1286.8767,114.45206,"Malignant","ground truth"
1316.2549,114.588234,"Malignant","ground truth"
1453.5555,115.81481,"Macrophage","ground truth"
1480.5,115.666664,"Malignant","ground truth"
1547.3663,116.38614,"Malignant","ground truth"
220.7789,121.0603,"Macrophage","ground truth"
324.7533,117.14978,"Malignant","ground truth"
599.3224,116.64474,"Malignant","ground truth"
709.2772,112.38614,"Malignant","ground truth"
778.3656,117.053764,"Malignant","ground truth"
798.3378,116.66216,"Malignant","ground truth"
814.93024,115.27907,"Malignant","ground truth"
933.5403,119.77725,"Malignant","ground truth"
1180.2128,116.25532,"Malignant","ground truth"
1528.2354,118.27731,"Malignant","ground truth"
1564.84,116.62666,"Malignant","ground truth"
7453.547,109.73153,"Stromal","ground truth"
349.42322,120.34831,"Malignant","ground truth"
538.62,116.1,"T","ground truth"
635.5352,117.633804,"Malignant","ground truth"
1095.4906,116.92453,"T","ground truth"
1293.5555,115.916664,"Malignant","ground truth"
1514.3784,117.175674,"Malignant","ground truth"
6972.7534,117.365944,"Macrophage","ground truth"
23.086021,118.666664,"Malignant","ground truth"
293.40466,120.785995,"Malignant","ground truth"
766.74347,121.12174,"Malignant","ground truth"
981.74664,116.92,"Malignant","ground truth"
1164.7455,117.74545,"Macrophage","ground truth"
6504.8047,118.26363,"Malignant","ground truth"
7505.75,120.34906,"T","ground truth"
560.381,120.9881,"Macrophage","ground truth"
656.1842,118.88158,"Malignant","ground truth"
686.29376,124.8625,"Malignant","ground truth"
1486.3962,119.50944,"Malignant","ground truth"
5753.8647,118.51351,"T","ground truth"
7470.781,118.42466,"T","ground truth"
1249.4569,120.48276,"Malignant","ground truth"
1597.758,121.145164,"Malignant","ground truth"
5937.314,119.21568,"T","ground truth"
248.8866,125.85567,"Malignant","ground truth"
587.1967,122.483604,"Malignant","ground truth"
698.8226,121.80645,"Malignant","ground truth"
936.1964,119.89286,"Malignant","ground truth"
1039.6316,120.14035,"Stromal","ground truth"
1213.6011,122.38202,"Malignant","ground truth"
1628.2949,122.10256,"Malignant","ground truth"
6489.561,121.82927,"Malignant","ground truth"
30.415663,126.43374,"Stromal","ground truth"
618.2971,121.96571,"Malignant","ground truth"
957.80743,121.40741,"Malignant","ground truth"
1152.3977,124.35227,"T","ground truth"
1282.9481,123.2,"Malignant","ground truth"
1640.9265,122.01471,"Malignant","ground truth"
283.56897,123.5,"Malignant","ground truth"
889.46375,122.478264,"Malignant","ground truth"
915.3727,126.13664,"Malignant","ground truth"
942.68463,126.83077,"Malignant","ground truth"
1160.875,122.075,"T","ground truth"
1300.4017,125.41071,"Malignant","ground truth"
1409.081,121.054054,"Malignant","ground truth"
1419.9329,126.08209,"Malignant","ground truth"
1653.4191,123.89524,"Malignant","ground truth"
1667.3049,122.17073,"Malignant","ground truth"
1719.7455,122.87273,"Malignant","ground truth"
1736.898,121.83673,"Malignant","ground truth"
1870.7333,123.53333,"Macrophage","ground truth"
5769.548,122.16438,"T","ground truth"
5835.96,122.06,"T","ground truth"
650.9787,121.12766,"Malignant","ground truth"
665.9883,124.09357,"Malignant","ground truth"
1391,124.03658,"Malignant","ground truth"
1438.644,123.84746,"Macrophage","ground truth"
1466.31,125.05,"Malignant","ground truth"
1524.2949,125.128204,"Malignant","ground truth"
5695.3394,123.94643,"T","ground truth"
630.4912,124.7193,"Malignant","ground truth"
730.39325,128.90262,"Malignant","ground truth"
1100.5193,124.51923,"Plasma","ground truth"
1318.1208,126.30769,"Malignant","ground truth"
1534.8992,126.344536,"Malignant","ground truth"
1551.7693,123.75641,"Malignant","ground truth"
1712.0122,126.31707,"Malignant","ground truth"
2256.8767,127.318184,"Malignant","ground truth"
5859.794,125.47059,"T","ground truth"
5875.1797,125.98876,"T","ground truth"
318.59036,125.789154,"Malignant","ground truth"
710.2308,125.35577,"Malignant","ground truth"
849.3091,126.77576,"Malignant","ground truth"
1093.5588,125.29412,"T","ground truth"
1334.4512,125.414635,"Malignant","ground truth"
1402.2054,128.11891,"Malignant","ground truth"
1771.579,126.43421,"Malignant","ground truth"
5829.0283,126.169014,"T","ground truth"
7460.1206,123.09057,"Stromal","ground truth"
61.560608,128.59091,"Malignant","ground truth"
606.4046,123.099236,"Malignant","ground truth"
747.76715,123.60959,"Malignant","ground truth"
1129.8928,127.28571,"Stromal","ground truth"
1232.6744,126.55232,"Malignant","ground truth"
1368.4917,128.46666,"Malignant","ground truth"
1458.1515,130.05302,"Malignant","ground truth"
5675.7637,126.84722,"T","ground truth"
5927.0654,127.021736,"T","ground truth"
238.98112,128.62263,"Malignant","ground truth"
1587.0394,128.30263,"Malignant","ground truth"
5849.0166,127.333336,"T","ground truth"
220.84445,128.68889,"Malignant","ground truth"
256.4661,132.01695,"Malignant","ground truth"
309.53845,131.29915,"Malignant","ground truth"
698.3387,127.46774,"Malignant","ground truth"
1210.2106,127.789474,"Macrophage","ground truth"
1292.9873,131.56688,"Malignant","ground truth"
1557.8667,129.61667,"Malignant","ground truth"
1697.6854,131.2258,"Malignant","ground truth"
5935,127.71875,"Macrophage","ground truth"
594.1585,130.2317,"Malignant","ground truth"
674.8956,130.72174,"Malignant","ground truth"
791.58826,131.42436,"Malignant","ground truth"
1220.5094,129.67924,"Malignant","ground truth"
1248.7878,130.87878,"Malignant","ground truth"
1543.3058,131.18182,"Malignant","ground truth"
1729.3715,129.48572,"Malignant","ground truth"
5782.143,129.61905,"T","ground truth"
6208.7397,128.41667,"Stromal","ground truth"
