"corr","gene","n","type","model","sample"
0.627101751606734,"FOXA1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.0959190083869866,"KRT23","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.640016208531185,"EPCAM","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"KRT6B","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.320589988268409,"ABCC11","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.501374895079388,"ERBB2","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.622608821105808,"TACSTD2","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.602612378754308,"GATA3","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"KRT14","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"KRT5","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.660725602016363,"KRT7","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.664577500978879,"ANKRD30A","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.67128915795313,"MLPH","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.298962106598484,"SERHL2","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"ADH1B","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.277054666185798,"SERPINA3","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.633462478211977,"KRT8","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.445942619526051,"CXCL12","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.664060594358903,"PTPRC","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"CCDC80","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.484738629517695,"MYO5B","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.00297331992797464,"SFRP1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.297299003747973,"CDH1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.58225990619604,"CXCR4","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.413675526887772,"S100A14","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.570612253753244,"CD9","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.414668575555724,"TFAP2A","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.552369159573393,"CCND1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.585466401829564,"IL7R","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.448502464547371,"AR","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.219330755921517,"PTGDS","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.390341781513244,"POSTN","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.404760949807028,"LYPD3","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.46754170853068,"LUM","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.260328432860749,"ESR1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.207216811791749,"MS4A1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.532559653233252,"DSP","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.401890383685762,"SFRP4","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"MZB1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"KLF5","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"MYH11","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.441475305546647,"FBLN1","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.563855301960271,"TRAC","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"PTN","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
-0.00175562421216379,"ADIPOQ","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
-0.00109873051814575,"OPRPN","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.570673265401662,"SCD","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.501912534304205,"FASN","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.117628474766242,"CEACAM6","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.286479169639596,"AGR3","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.6025289930767,"FOXA1","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.0615405896292688,"KRT23","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.633019703228826,"EPCAM","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.0241695245603063,"KRT6B","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.265954323125902,"ABCC11","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.53888704476903,"ERBB2","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.536537239673369,"TACSTD2","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.522372267453564,"GATA3","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.040192689953983,"KRT14","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.0343941556565372,"KRT5","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.342428379924979,"KRT7","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.574119421095571,"ANKRD30A","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.590759278326091,"MLPH","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
0.246333777502671,"SERHL2","top_20","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
-0.00175562421216379,"ADIPOQ","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
-0.00109873051814575,"OPRPN","top_50","svg","+ref (w/o cell type, w/o neighbourhood)","breast_sample1"
