"","corr","gene","n","type","model","sample"
"747",0.558641099105076,"MUC6","top_50","svg","stardist","breast_sample2"
"748",0.75741958814329,"CDH1","top_50","svg","stardist","breast_sample2"
"749",0.497337749645399,"MYH11","top_50","svg","stardist","breast_sample2"
"750",0.727431024183311,"TACSTD2","top_50","svg","stardist","breast_sample2"
"751",0.648875140264362,"TFAP2A","top_50","svg","stardist","breast_sample2"
"752",0.727822695427535,"MLPH","top_50","svg","stardist","breast_sample2"
"753",0.764165984255031,"EPCAM","top_50","svg","stardist","breast_sample2"
"754",0.681952581979754,"LYPD3","top_50","svg","stardist","breast_sample2"
"755",0.743247201982563,"KRT7","top_50","svg","stardist","breast_sample2"
"756",0.689705849029284,"SCD","top_50","svg","stardist","breast_sample2"
"757",0.392312840185437,"PIGR","top_50","svg","stardist","breast_sample2"
"758",0.503700709632902,"KRT14","top_50","svg","stardist","breast_sample2"
"759",0.605447875496412,"ANKRD30A","top_50","svg","stardist","breast_sample2"
"760",0.468671497106304,"PTN","top_50","svg","stardist","breast_sample2"
"761",0.353936793181075,"S100A8","top_50","svg","stardist","breast_sample2"
"762",0.663612289377035,"DSP","top_50","svg","stardist","breast_sample2"
"763",0.440842241317596,"POSTN","top_50","svg","stardist","breast_sample2"
"764",0.519230434070534,"KRT5","top_50","svg","stardist","breast_sample2"
"765",0.644973730133877,"AR","top_50","svg","stardist","breast_sample2"
"766",0.3911452052007,"CEACAM6","top_50","svg","stardist","breast_sample2"
"767",0.496339007789736,"SERPINA3","top_50","svg","stardist","breast_sample2"
"768",0.423115279848534,"ESR1","top_50","svg","stardist","breast_sample2"
"769",0.476342833112449,"SFRP1","top_50","svg","stardist","breast_sample2"
"770",0.675647927161533,"JUP","top_50","svg","stardist","breast_sample2"
"771",0.730593855668912,"CD9","top_50","svg","stardist","breast_sample2"
"772",0.14834229962626,"MMP1","top_50","svg","stardist","breast_sample2"
"773",0.796014247200006,"ERBB2","top_50","svg","stardist","breast_sample2"
"774",0.42852746521202,"AKR1C1","top_50","svg","stardist","breast_sample2"
"775",0.515707790696322,"ALDH1A3","top_50","svg","stardist","breast_sample2"
"776",0.63104440802936,"TRAF4","top_50","svg","stardist","breast_sample2"
"777",0.403670897304483,"TOP2A","top_50","svg","stardist","breast_sample2"
