"","x_cord","y_cord","gene"
"Cell_4202",294.9192,199.77777,2.39179812255923
"Cell_4177",353.3793,197.48276,0
"Cell_4178",421.13974,196.77019,2.50294439620786
"Cell_4115",306.0645,199.14194,2.5840863619006
"Cell_4145",596.2526,198.2,1.46399787814195
"Cell_4200",98.52907,200.09883,2.42274411712409
"Cell_4225",273.38425,204.38916,2.76535002524734
"Cell_4201",145.45946,197.27365,1.8673712134881
"Cell_4224",155.74074,201.58025,0
"Cell_4226",384.73495,200.95181,2.46071959639813
"Cell_4223",73.88816,204.98685,2.57051599904618
"Cell_4277",632.8929,201.5,2.61177476342774
"Cell_4246",178.39682,203.68254,3.13453920249263
"Cell_4247",399.6492,205.14659,2.5020845932823
"Cell_4249",546.4545,200.75325,2.39745593167787
"Cell_4302",246.46104,199.38962,3.54890594847377
"Cell_4276",84.34259,202.98148,3.5406976051722
"Cell_4304",346.13333,203.4,1.65777325044062
"Cell_4303",287.75107,208.13304,2.08630081443552
"Cell_4305",362.5,203.96591,2.74633914376597
"Cell_4301",187.36667,204.72223,3.24113451976373
"Cell_4306",608.24615,203.8,0
"Cell_4227",507.5942,201.07246,2.48026363152708
"Cell_4335",428.89536,205.86046,1.12982558492134
"Cell_4394",159.86539,207.3077,0
"Cell_4395",171.92622,208.09016,3.53010904674825
"Cell_4358",58.391026,209.08974,2.19824896011446
"Cell_4418",194.97675,207.30232,0
"Cell_4441",341.2857,207.71428,2.38617276067345
"Cell_4417",17.690647,205.30936,2.83608053822981
"Cell_4463",260.8323,209.87578,3.77734824801219
"Cell_4494",423.9041,213.26712,0.869054206857621
"Cell_4419",238.32292,209.64583,0
"Cell_4442",490.80884,209.54411,2.81775311175567
"Cell_4493",408.05264,209.8158,2.8641633488237
"Cell_4510",377.97015,210.52238,3.47347178067347
"Cell_4509",305.10657,213.34427,1.61552117785191
"Cell_4540",58.766666,212.53334,3.318034772999
"Cell_4542",131.01031,210.90721,2.09801183022771
"Cell_4543",328.57376,211.70493,0
"Cell_4574",546.91174,213,0
"Cell_4511",448.43137,211.52942,0
"Cell_4541",98.20721,212.45946,2.6547431874231
"Cell_4544",388.2553,212.89362,2.6576716123384
"Cell_4572",353.92593,214.66667,2.68942701826288
"Cell_4605",85.48729,216.50847,2.87129828310661
"Cell_4606",144.85715,212.17143,0
"Cell_4608",616.21716,215.80807,0.731339104348658
"Cell_4607",314.48718,214.23077,2.6402227498088
"Cell_4573",475.8021,215.15625,0
"Cell_4629",543,211.14935,0
"Cell_4627",202.76,215.65334,3.47347178067347
"Cell_4628",273.31073,220.02824,2.73998048865626
"Cell_4571",225.34055,215.3081,0.809723748485243
"Cell_4626",117.69643,215.14285,2.09801183022771
"Cell_4646",240.52672,218.54199,0
"Cell_4647",336.81055,221.06235,2.79928357876185
"Cell_4645",38.85625,217.54375,2.63447062617178
"Cell_4675",183.64761,218.91429,3.03511954650318
"Cell_4604",12.4862385,216.0367,2.67690822587564
"Cell_4674",163.13393,217,3.05796847072319
"Cell_4676",367.0043,217.0043,2.80967012094501
"Cell_4726",27.713236,215.58089,2.54202748815261
"Cell_4727",51.762962,220.14815,3.318034772999
"Cell_4743",171.78021,219.7033,2.20286586380089
"Cell_4744",315.64706,220.14117,2.41462732086706
"Cell_4728",630.4091,219.98485,2.77871166974211
"Cell_4742",68.43396,220.36792,3.17678817503868
"Cell_4768",155.23932,226.1624,3.47484436093352
"Cell_4705",137.1306,224.02985,3.41116415042252
"Cell_4851",310.24,224.26,2.13163873296182
"Cell_4769",482.46033,222.04762,3.45847580444295
"Cell_4799",410.4311,221.70674,3.26621168927837
"Cell_4770",493.78665,218.21333,0
"Cell_4849",191.88489,224.90648,2.68655244561871
"Cell_4825",387.48553,224.00578,3.84032420401321
"Cell_4800",462.8305,222.47458,0
"Cell_4852",329.44232,224.50961,2.94722913189695
"Cell_4826",544.439,223.95122,0
"Cell_4884",377.4355,225.79033,3.35259451794702
"Cell_4883",257.95322,222.23392,1.80271087444379
"Cell_4850",201.375,225.5,3.74258150534096
"Cell_4885",396.70108,226.94022,3.63387296446435
"Cell_4848",96.55696,224.50633,4.13967688747155
"Cell_4853",566.95,224.31667,0
"Cell_4910",305.76047,228.5988,2.19365495032309
"Cell_4909",239.37254,225.47058,1.85484926367148
"Cell_4907",160.73494,227.48193,3.73217986446823
"Cell_4886",636.7679,224.53572,0
"Cell_4940",614.76086,226.94565,0
"Cell_4939",372.2535,230.45775,4.03287087930188
"Cell_4882",19.773333,222.72,0
"Cell_5002",355.7927,230.13414,3.32467605654148
"Cell_4961",430.47107,226.50414,2.78695961138075
"Cell_4999",14.466666,230.6,2.11466849278668
"Cell_5000",61.069443,230.77777,3.95584446908445
"Cell_5033",235.36363,230.21213,0
"Cell_5034",248.09302,230.89536,0
