"","x_cord","y_cord","group_broad_type"
"cell782",50.22689,261.36136,"Malignant"
"cell783",588.2432,259.51352,"Myoepi"
"cell785",101.915886,262.40186,"Malignant"
"cell787",566.76666,261.4,"Myoepi"
"cell793",607.9431,260.44714,"Myoepi"
"cell795",623.6144,266.589,"Malignant"
"cell797",635.3333,264.12964,"Myoepi"
"cell800",180.6962,264.96204,"Malignant"
"cell802",25.016304,266.29892,"Malignant"
"cell803",306.27902,259.0889,"Malignant"
"cell806",16.589743,260.92307,"Malignant"
"cell807",380.40115,265.64536,"Malignant"
"cell808",557.2684,271.013,"Stromal"
"cell810",87.875,264.4375,"Malignant"
"cell811",151.52055,265.47946,"Malignant"
"cell812",280.33572,265.775,"Malignant"
"cell813",192.38461,265.74176,"Malignant"
"cell815",207.16,264.552,"Malignant"
"cell816",599.871,265.5269,"Malignant"
"cell819",610.36957,269.56522,"Myoepi"
"cell821",351.21738,268.36758,"Malignant"
"cell824",329.43103,270.43677,"Malignant"
"cell825",574.6847,268.1081,"Myoepi"
"cell826",370.48022,269.25424,"Malignant"
"cell827",587.82434,267.74326,"Myoepi"
"cell834",227.06433,270.45615,"Malignant"
"cell837",110.97122,267.52518,"Malignant"
"cell838",41.19149,270.92554,"Malignant"
"cell841",52.166668,270.7564,"Malignant"
"cell842",79.24286,271.15714,"T"
"cell846",234.17188,272.01562,"Stromal"
"cell851",252.97437,272.94873,"Stromal"
"cell853",289.46957,271.9652,"Malignant"
"cell854",20.658537,271.5366,"Malignant"
"cell855",175.64844,274.85156,"Malignant"
"cell856",552.1429,270.85715,"Myoepi"
"cell857",72.520836,273.72916,"T"
"cell858",183.55446,276.77228,"Malignant"
"cell860",127.43104,269.31897,"T"
"cell861",541.9672,272.0492,"Myoepi"
"cell862",580.6719,274.39062,"Myoepi"
"cell864",8.840909,273.61365,"Malignant"
"cell865",320.48087,277.42078,"Malignant"
"cell867",306.35263,277.8111,"Malignant"
"cell868",417.2958,274.02893,"Stromal"
"cell872",31.347826,277.65942,"Malignant"
"cell873",574.43445,278.4918,"Myoepi"
"cell875",155.95192,275.34616,"Malignant"
"cell877",625.129,276.51614,"Myoepi"
"cell878",400.07443,271.92093,"Stromal"
"cell882",217.07333,277.79333,"Malignant"
"cell883",247.18462,278.26154,"Macrophage"
"cell885",88.23963,276.3456,"Stromal"
"cell886",342.30908,280.9,"Malignant"
"cell887",562.2632,278.25,"Myoepi"
"cell888",352.47873,277.67023,"Malignant"
"cell889",487,276.86047,"T"
"cell890",540.11444,286.1199,"Myoepi"
"cell892",105.66038,279.54718,"Malignant"
"cell893",605.0574,276.81558,"Malignant"
"cell894",131.96227,282.7321,"Malignant"
"cell895",361.51886,280.3302,"Malignant"
"cell896",10.395833,280.20834,"Malignant"
"cell898",281.15942,281.33817,"Malignant"
"cell899",384.0898,281.4611,"Malignant"
"cell903",400.0875,286.25626,"Stromal"
"cell906",190.71622,282.27026,"Malignant"
"cell910",599.42975,285.37604,"Malignant"
"cell913",310.35898,287.06412,"Malignant"
"cell916",99.64706,288.50327,"Malignant"
"cell918",18.181818,284.90082,"Malignant"
"cell920",619.9954,287.90866,"Malignant"
"cell921",83.888885,285.6111,"Myoepi"
