data,permutation,subgroup,cindex
GHIST,57,HER2+,0.608918919
GHIST,58,HER2+,0.659551177
GHIST,59,HER2+,0.57366114
GHIST,60,HER2+,0.6626351
GHIST,61,HER2+,0.486239951
GHIST,62,HER2+,0.669561516
GHIST,63,HER2+,0.52805145
GHIST,64,HER2+,0.525014736
GHIST,65,HER2+,0.619171091
GHIST,66,HER2+,0.189285714
GHIST,67,HER2+,0.595516569
GHIST,68,HER2+,0.539586145
GHIST,69,HER2+,0.641484943
GHIST,70,HER2+,0.618550725
GHIST,71,HER2+,0.570427438
GHIST,72,HER2+,0.561883899
GHIST,73,HER2+,0.632483336
GHIST,74,HER2+,0.676821076
GHIST,75,HER2+,0.603501181
GHIST,76,HER2+,0.513522075
GHIST,77,HER2+,0.599053414
GHIST,78,HER2+,0.514958592
GHIST,79,HER2+,0.649668552
GHIST,80,HER2+,0.68830092
GHIST,81,HER2+,0.577657027
GHIST,82,HER2+,0.627160494
GHIST,83,HER2+,0.62943097
GHIST,84,HER2+,0.573198677
GHIST,85,HER2+,0.579639517
GHIST,86,HER2+,0.479575248
GHIST,87,HER2+,0.579964404
GHIST,88,HER2+,0.740998217
GHIST,89,HER2+,0.748677249
GHIST,90,HER2+,0.575925926
GHIST,91,HER2+,0.552852569
GHIST,92,HER2+,0.380427418
GHIST,93,HER2+,0.435521886
GHIST,94,HER2+,0.448854376
GHIST,95,HER2+,0.43878061
GHIST,96,HER2+,0.497956989
GHIST,97,HER2+,0.621577518
GHIST,98,HER2+,0.662871375
GHIST,99,HER2+,0.341515761
GHIST,100,HER2+,0.498514669
GeneCodeR,1,HER2+,0.498953499
GeneCodeR,2,HER2+,0.352016065
GeneCodeR,3,HER2+,0.439560623
GeneCodeR,4,HER2+,0.450343915
GeneCodeR,5,HER2+,0.357509245
GeneCodeR,6,HER2+,0.630769231
GeneCodeR,7,HER2+,0.414045688
GeneCodeR,8,HER2+,0.409777354
GeneCodeR,9,HER2+,0.373695789
GeneCodeR,10,HER2+,0.380516509
GeneCodeR,11,HER2+,0.536121007
GeneCodeR,12,HER2+,0.428079496
GeneCodeR,13,HER2+,0.437952225
GeneCodeR,14,HER2+,0.38491005
GeneCodeR,15,HER2+,0.561401228
GeneCodeR,16,HER2+,0.445004669
GeneCodeR,17,HER2+,0.375315657
GeneCodeR,18,HER2+,0.302089269
GeneCodeR,19,HER2+,0.560678556
GeneCodeR,20,HER2+,0.562160594
GeneCodeR,21,HER2+,0.380912599
GeneCodeR,22,HER2+,0.622641751
GeneCodeR,23,HER2+,0.309269162
GeneCodeR,24,HER2+,0.360093897
GeneCodeR,25,HER2+,0.51092972
GeneCodeR,26,HER2+,0.300084627
GeneCodeR,27,HER2+,0.381185984
GeneCodeR,28,HER2+,0.409057971
GeneCodeR,29,HER2+,0.323682662
GeneCodeR,30,HER2+,0.228976962
GeneCodeR,31,HER2+,0.394475832
GeneCodeR,32,HER2+,0.4382641
GeneCodeR,33,HER2+,0.488877899
GeneCodeR,34,HER2+,0.544444444
GeneCodeR,35,HER2+,0.467735117
GeneCodeR,36,HER2+,0.355863454
GeneCodeR,37,HER2+,0.513042005
GeneCodeR,38,HER2+,0.453282828
GeneCodeR,39,HER2+,0.417935668
GeneCodeR,40,HER2+,0.47402406
GeneCodeR,41,HER2+,0.601443183
GeneCodeR,42,HER2+,0.423845639
GeneCodeR,43,HER2+,0.334409978
GeneCodeR,44,HER2+,0.438715265
GeneCodeR,45,HER2+,0.677808303
GeneCodeR,46,HER2+,0.582361286
GeneCodeR,47,HER2+,0.358132737
GeneCodeR,48,HER2+,0.333805668
GeneCodeR,49,HER2+,0.508893281
GeneCodeR,50,HER2+,0.463505074
GeneCodeR,51,HER2+,0.380430108
GeneCodeR,52,HER2+,0.374465349
GeneCodeR,53,HER2+,0.425753884
GeneCodeR,54,HER2+,0.35878913
GeneCodeR,55,HER2+,0.364158885
GeneCodeR,56,HER2+,0.32
GeneCodeR,57,HER2+,0.348828829
GeneCodeR,58,HER2+,0.209770115
GeneCodeR,59,HER2+,0.583571565
GeneCodeR,60,HER2+,0.31626351
GeneCodeR,61,HER2+,0.506416203
GeneCodeR,62,HER2+,0.480774798
GeneCodeR,63,HER2+,0.308839628
GeneCodeR,64,HER2+,0.278072502
GeneCodeR,65,HER2+,0.470318695
GeneCodeR,66,HER2+,0.316071429
GeneCodeR,67,HER2+,0.509607352
GeneCodeR,68,HER2+,0.213337832
GeneCodeR,69,HER2+,0.525008654
GeneCodeR,70,HER2+,0.549361245
GeneCodeR,71,HER2+,0.376373909
GeneCodeR,72,HER2+,0.522844625
GeneCodeR,73,HER2+,0.354858436
GeneCodeR,74,HER2+,0.39142668
GeneCodeR,75,HER2+,0.493760676
GeneCodeR,76,HER2+,0.58176604
GeneCodeR,77,HER2+,0.312974232
GeneCodeR,78,HER2+,0.431832298
GeneCodeR,79,HER2+,0.425035404
GeneCodeR,80,HER2+,0.241670436
GeneCodeR,81,HER2+,0.461795988
GeneCodeR,82,HER2+,0.524485597
GeneCodeR,83,HER2+,0.409700297
GeneCodeR,84,HER2+,0.508055752
GeneCodeR,85,HER2+,0.555435489
GeneCodeR,86,HER2+,0.638432958
GeneCodeR,87,HER2+,0.643529113
GeneCodeR,88,HER2+,0.411342527
GeneCodeR,89,HER2+,0.275132275
GeneCodeR,90,HER2+,0.252698413
GeneCodeR,91,HER2+,0.410054993
GeneCodeR,92,HER2+,0.422248733
GeneCodeR,93,HER2+,0.348316498
GeneCodeR,94,HER2+,0.360535903
GeneCodeR,95,HER2+,0.566466767
GeneCodeR,96,HER2+,0.542526882
GeneCodeR,97,HER2+,0.412519562
GeneCodeR,98,HER2+,0.518040342
GeneCodeR,99,HER2+,0.476950592
GeneCodeR,100,HER2+,0.393491081
HisToGene,1,HER2+,0.34975885
HisToGene,2,HER2+,0.390131772
HisToGene,3,HER2+,0.345284528
HisToGene,4,HER2+,0.556190476
HisToGene,5,HER2+,0.539625101
HisToGene,6,HER2+,0.732051282
HisToGene,7,HER2+,0.613856742
HisToGene,8,HER2+,0.342733143
HisToGene,9,HER2+,0.583589985
HisToGene,10,HER2+,0.319091536
HisToGene,11,HER2+,0.537179136
HisToGene,12,HER2+,0.279614325
HisToGene,13,HER2+,0.607096838
HisToGene,14,HER2+,0.397991625
HisToGene,15,HER2+,0.694965692
HisToGene,16,HER2+,0.4356676
HisToGene,17,HER2+,0.552714646
HisToGene,18,HER2+,0.558214625
HisToGene,19,HER2+,0.397564158
HisToGene,20,HER2+,0.398001907
HisToGene,21,HER2+,0.569853204
HisToGene,22,HER2+,0.591394549
HisToGene,23,HER2+,0.602877515
HisToGene,24,HER2+,0.713615023
HisToGene,25,HER2+,0.344910878
HisToGene,26,HER2+,0.447970576
HisToGene,27,HER2+,0.564216831
HisToGene,28,HER2+,0.532004831
HisToGene,29,HER2+,0.540567442
HisToGene,30,HER2+,0.621896303
HisToGene,31,HER2+,0.518120946
HisToGene,32,HER2+,0.574029044
HisToGene,33,HER2+,0.5183953
HisToGene,34,HER2+,0.585185185
HisToGene,35,HER2+,0.551332397
HisToGene,36,HER2+,0.552677376
HisToGene,37,HER2+,0.341971545
HisToGene,38,HER2+,0.545454545
HisToGene,39,HER2+,0.419065338
HisToGene,40,HER2+,0.52160866
HisToGene,41,HER2+,0.470715987
HisToGene,42,HER2+,0.730640999
HisToGene,43,HER2+,0.667991152
HisToGene,44,HER2+,0.774440392
HisToGene,45,HER2+,0.48015873
HisToGene,46,HER2+,0.32629256
HisToGene,47,HER2+,0.531894333
HisToGene,48,HER2+,0.731106613
HisToGene,49,HER2+,0.566205534
HisToGene,50,HER2+,0.474283423
HisToGene,51,HER2+,0.467517532
HisToGene,52,HER2+,0.404015664
HisToGene,53,HER2+,0.579881206
HisToGene,54,HER2+,0.523059282
HisToGene,55,HER2+,0.609783292
HisToGene,56,HER2+,0.441428571
HisToGene,57,HER2+,0.232117117
HisToGene,58,HER2+,0.563902573
HisToGene,59,HER2+,0.528301887
HisToGene,60,HER2+,0.695659633
HisToGene,61,HER2+,0.706709957
HisToGene,62,HER2+,0.56596424
HisToGene,63,HER2+,0.548303229
HisToGene,64,HER2+,0.426982022
HisToGene,65,HER2+,0.526786572
HisToGene,66,HER2+,0.260714286
HisToGene,67,HER2+,0.527777778
HisToGene,68,HER2+,0.619180162
HisToGene,69,HER2+,0.265100381
HisToGene,70,HER2+,0.312195384
HisToGene,71,HER2+,0.491114535
HisToGene,72,HER2+,0.531372242
HisToGene,73,HER2+,0.525102428
HisToGene,74,HER2+,0.508947174
HisToGene,75,HER2+,0.592193685
HisToGene,76,HER2+,0.545218087
HisToGene,77,HER2+,0.619162097
HisToGene,78,HER2+,0.5375
HisToGene,79,HER2+,0.610385661
HisToGene,80,HER2+,0.673903211
HisToGene,81,HER2+,0.523473513
HisToGene,82,HER2+,0.638065844
HisToGene,83,HER2+,0.398930827
HisToGene,84,HER2+,0.471840302
HisToGene,85,HER2+,0.367856033
HisToGene,86,HER2+,0.464792729
HisToGene,87,HER2+,0.363590135
HisToGene,88,HER2+,0.601791913
HisToGene,89,HER2+,0.385449735
HisToGene,90,HER2+,0.415097002
HisToGene,91,HER2+,0.636513935
HisToGene,92,HER2+,0.52778146
HisToGene,93,HER2+,0.429124579
HisToGene,94,HER2+,0.609145815
HisToGene,95,HER2+,0.480009995
HisToGene,96,HER2+,0.77172043
HisToGene,97,HER2+,0.482583631
HisToGene,98,HER2+,0.56282704
HisToGene,99,HER2+,0.583702213
HisToGene,100,HER2+,0.573658411
Hist2ST,1,HER2+,0.557138098
Hist2ST,2,HER2+,0.484523282
Hist2ST,3,HER2+,0.556736669
Hist2ST,4,HER2+,0.54331723
Hist2ST,5,HER2+,0.490690691
Hist2ST,6,HER2+,0.4316829
Hist2ST,7,HER2+,0.379591744
Hist2ST,8,HER2+,0.514315163
Hist2ST,9,HER2+,0.430407801
Hist2ST,10,HER2+,0.459346598
Hist2ST,11,HER2+,0.60515873
Hist2ST,12,HER2+,0.583039699
Hist2ST,13,HER2+,0.55
Hist2ST,14,HER2+,0.650131873
Hist2ST,15,HER2+,0.387254902
Hist2ST,16,HER2+,0.350462963
Hist2ST,17,HER2+,0.369054549
Hist2ST,18,HER2+,0.548260382
Hist2ST,19,HER2+,0.404182613
Hist2ST,20,HER2+,0.580443086
Hist2ST,21,HER2+,0.512354013
Hist2ST,22,HER2+,0.458333333
Hist2ST,23,HER2+,0.453096242
Hist2ST,24,HER2+,0.510934744
Hist2ST,25,HER2+,0.387827551
Hist2ST,26,HER2+,0.655103067
Hist2ST,27,HER2+,0.29469697
Hist2ST,28,HER2+,0.345331985
Hist2ST,29,HER2+,0.736
Hist2ST,30,HER2+,0.680031447
Hist2ST,31,HER2+,0.626494845
Hist2ST,32,HER2+,0.397565012
Hist2ST,33,HER2+,0.438521431
Hist2ST,34,HER2+,0.482949702
Hist2ST,35,HER2+,0.512765957
Hist2ST,36,HER2+,0.484527818
Hist2ST,37,HER2+,0.364490276
Hist2ST,38,HER2+,0.481624319
Hist2ST,39,HER2+,0.476119403
Hist2ST,40,HER2+,0.505952381
Hist2ST,41,HER2+,0.536256256
Hist2ST,42,HER2+,0.464285714
Hist2ST,43,HER2+,0.42394238
Hist2ST,44,HER2+,0.490968161
Hist2ST,45,HER2+,0.556476112
Hist2ST,46,HER2+,0.494444444
Hist2ST,47,HER2+,0.527327327
Hist2ST,48,HER2+,0.608823529
Hist2ST,49,HER2+,0.518841432
Hist2ST,50,HER2+,0.43347453
Hist2ST,51,HER2+,0.503767034
Hist2ST,52,HER2+,0.450584795
Hist2ST,53,HER2+,0.467603399
Hist2ST,54,HER2+,0.606611727
Hist2ST,55,HER2+,0.600089606
Hist2ST,56,HER2+,0.44108252
Hist2ST,57,HER2+,0.468179718
Hist2ST,58,HER2+,0.545047857
Hist2ST,59,HER2+,0.537377451
Hist2ST,60,HER2+,0.379310345
Hist2ST,61,HER2+,0.365043556
Hist2ST,62,HER2+,0.320261438
Hist2ST,63,HER2+,0.397851448
Hist2ST,64,HER2+,0.438156939
Hist2ST,65,HER2+,0.473063973
Hist2ST,66,HER2+,0.525144107
Hist2ST,67,HER2+,0.426190476
Hist2ST,68,HER2+,0.605098453
Hist2ST,69,HER2+,0.462882448
Hist2ST,70,HER2+,0.418181818
Hist2ST,71,HER2+,0.56420068
Hist2ST,72,HER2+,0.553090802
Hist2ST,73,HER2+,0.329911341
Hist2ST,74,HER2+,0.492911877
Hist2ST,75,HER2+,0.39894449
Hist2ST,76,HER2+,0.447691198
Hist2ST,77,HER2+,0.410897771
Hist2ST,78,HER2+,0.675438596
Hist2ST,79,HER2+,0.436696901
Hist2ST,80,HER2+,0.470990966
Hist2ST,81,HER2+,0.427163078
Hist2ST,82,HER2+,0.307921147
Hist2ST,83,HER2+,0.430980815
Hist2ST,84,HER2+,0.576462297
Hist2ST,85,HER2+,0.608698948
Hist2ST,86,HER2+,0.437922078
Hist2ST,87,HER2+,0.386032474
Hist2ST,88,HER2+,0.574039265
Hist2ST,89,HER2+,0.469907407
Hist2ST,90,HER2+,0.408313325
Hist2ST,91,HER2+,0.482415168
Hist2ST,92,HER2+,0.466153846
Hist2ST,93,HER2+,0.427646743
Hist2ST,94,HER2+,0.638453501
Hist2ST,95,HER2+,0.450146143
Hist2ST,96,HER2+,0.541598472
Hist2ST,97,HER2+,0.636817168
Hist2ST,98,HER2+,0.52962963
Hist2ST,99,HER2+,0.312121212
Hist2ST,100,HER2+,0.402979066
ST-Net,1,HER2+,0.367678284
ST-Net,2,HER2+,0.59751461
ST-Net,3,HER2+,0.482448245
ST-Net,4,HER2+,0.447433862
ST-Net,5,HER2+,0.587367728
ST-Net,6,HER2+,0.611965812
ST-Net,7,HER2+,0.328101218
ST-Net,8,HER2+,0.627354363
ST-Net,9,HER2+,0.612039074
ST-Net,10,HER2+,0.564646134
ST-Net,11,HER2+,0.773629
ST-Net,12,HER2+,0.442181556
ST-Net,13,HER2+,0.490980276
ST-Net,14,HER2+,0.626465571
ST-Net,15,HER2+,0.333665583
ST-Net,16,HER2+,0.453470277
ST-Net,17,HER2+,0.436184764
ST-Net,18,HER2+,0.50379867
ST-Net,19,HER2+,0.423879948
ST-Net,20,HER2+,0.649210297
ST-Net,21,HER2+,0.555547599
ST-Net,22,HER2+,0.607231751
ST-Net,23,HER2+,0.360084034
ST-Net,24,HER2+,0.629303599
ST-Net,25,HER2+,0.499435467
ST-Net,26,HER2+,0.489519253
ST-Net,27,HER2+,0.493905361
ST-Net,28,HER2+,0.558816425
ST-Net,29,HER2+,0.55525839
ST-Net,30,HER2+,0.563815495
ST-Net,31,HER2+,0.708223478
ST-Net,32,HER2+,0.684194529
ST-Net,33,HER2+,0.590198165
ST-Net,34,HER2+,0.634259259
ST-Net,35,HER2+,0.56425395
ST-Net,36,HER2+,0.513641232
ST-Net,37,HER2+,0.468834688
ST-Net,38,HER2+,0.616792929
ST-Net,39,HER2+,0.648829623
ST-Net,40,HER2+,0.365779814
ST-Net,41,HER2+,0.717388258
ST-Net,42,HER2+,0.435387048
ST-Net,43,HER2+,0.514334826
ST-Net,44,HER2+,0.632124723
ST-Net,45,HER2+,0.356837607
ST-Net,46,HER2+,0.26686633
ST-Net,47,HER2+,0.56521493
ST-Net,48,HER2+,0.756882591
ST-Net,49,HER2+,0.416282389
ST-Net,50,HER2+,0.453929505
ST-Net,51,HER2+,0.798438523
ST-Net,52,HER2+,0.280323392
ST-Net,53,HER2+,0.358056655
ST-Net,54,HER2+,0.553720904
ST-Net,55,HER2+,0.470990019
ST-Net,56,HER2+,0.29
ST-Net,57,HER2+,0.38518018
ST-Net,58,HER2+,0.38437329
ST-Net,59,HER2+,0.433866972
ST-Net,60,HER2+,0.463544347
ST-Net,61,HER2+,0.63729128
ST-Net,62,HER2+,0.317973606
ST-Net,63,HER2+,0.667761357
ST-Net,64,HER2+,0.404969791
ST-Net,65,HER2+,0.560233774
ST-Net,66,HER2+,0.778571429
ST-Net,67,HER2+,0.313143971
ST-Net,68,HER2+,0.45422852
ST-Net,69,HER2+,0.335323641
ST-Net,70,HER2+,0.435727322
ST-Net,71,HER2+,0.425760429
ST-Net,72,HER2+,0.339774683
ST-Net,73,HER2+,0.333639088
ST-Net,74,HER2+,0.347503748
ST-Net,75,HER2+,0.397951251
ST-Net,76,HER2+,0.507152861
ST-Net,77,HER2+,0.739075451
ST-Net,78,HER2+,0.556961698
ST-Net,79,HER2+,0.715649734
ST-Net,80,HER2+,0.588270767
ST-Net,81,HER2+,0.478844222
ST-Net,82,HER2+,0.5218107
ST-Net,83,HER2+,0.505232252
ST-Net,84,HER2+,0.524462556
ST-Net,85,HER2+,0.635887222
ST-Net,86,HER2+,0.297718973
ST-Net,87,HER2+,0.569285533
