"time","n.risk","n.event","n.censor","surv","std.err","upper","lower","strata","risk_cat","pval.txt","pval","data","subgroup"
170,47,0,1,0.979166666666667,0.021053798026663,1,0.939583962226159,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
210,46,0,1,0.979166666666667,0.021053798026663,1,0.939583962226159,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
218,45,0,1,0.979166666666667,0.021053798026663,1,0.939583962226159,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
231,44,0,1,0.979166666666667,0.021053798026663,1,0.939583962226159,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
242,43,0,1,0.979166666666667,0.021053798026663,1,0.939583962226159,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
320,42,1,0,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
323,41,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
332,40,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
352,39,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
375,38,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
396,37,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
426,36,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
518,35,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
529,34,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
545,33,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
666,32,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
679,31,0,1,0.955853174603175,0.0319997266279375,1,0.897744948727927,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
