"pred_type","gene","model_id","dataset","cor_pearson","ssim"
"test","PCCB","GeneCodeR","her2+",0.08520930279904,0.0306298483119774
"test","PCIF1","GeneCodeR","her2+",0.0659451915220697,0.02226792182714
"test","PDCD5","GeneCodeR","her2+",0.106569210616029,0.0294415657315695
"test","PDGFRA","GeneCodeR","her2+",0.0100531887322058,0.00778607680885635
"test","PDGFRB","GeneCodeR","her2+",0.0616205443973419,0.0287018918477305
"test","PER1","GeneCodeR","her2+",0.0811423709385205,0.0264218081763624
"test","PEX11G","GeneCodeR","her2+",0.0505401731149835,0.0143387542258516
"test","PEX14","GeneCodeR","her2+",0.050231615020282,0.0130741334780219
"test","PGLS","GeneCodeR","her2+",0.16263819107921,0.087291522009793
"test","PHF11","GeneCodeR","her2+",0.0194105894187371,0.00609575591776412
"test","PHF13","GeneCodeR","her2+",0.0606241903080242,0.0154813107518702
"test","PHF21A","GeneCodeR","her2+",0.0290372501684829,0.00897454784628465
"test","PHKB","GeneCodeR","her2+",0.117634393967787,0.0371199733435358
"test","PIGQ","GeneCodeR","her2+",0.106367840886336,0.0495179172388445
"test","PIH1D1","GeneCodeR","her2+",0.0571649646909908,0.0279658632953386
"test","PILRA","GeneCodeR","her2+",0.0472278741253869,0.013580922483474
"test","PIM2","GeneCodeR","her2+",0.0934001893570083,0.0296133591624946
"test","PITX1","GeneCodeR","her2+",0.122148149219469,0.0461056760613055
"test","PKNOX1","GeneCodeR","her2+",0.0461348067305985,0.0101577011389983
"test","PLAC9","GeneCodeR","her2+",0.00222285486937276,0.00480686538916174
"test","PLEKHO2","GeneCodeR","her2+",0.0570954671742733,0.0242937337270866
"test","PLIN2","GeneCodeR","her2+",0.033312427915451,0.00996401757579676
"test","PLK1","GeneCodeR","her2+",0.0959958251194411,0.0276611829859907
"test","PLK2","GeneCodeR","her2+",0.149427898868651,0.0495498225946044
"test","PLLP","GeneCodeR","her2+",0.0592209774027632,0.0186560469985568
"test","PLP2","GeneCodeR","her2+",0.0979331572139794,0.0440765490947782
"test","PLPPR2","GeneCodeR","her2+",0.108282337921161,0.0512300814772067
"test","PLSCR1","GeneCodeR","her2+",0.0368635962885355,0.0112074532468902
"test","PLTP","GeneCodeR","her2+",0.0645354326845581,0.0390098732650058
"test","PLVAP","GeneCodeR","her2+",0.0475599879539452,0.0284229515670354
"test","PLXNA1","GeneCodeR","her2+",0.136614507772419,0.0508144571574972
"test","PLXND1","GeneCodeR","her2+",0.189528992134043,0.103791881354361
"test","PMP22","GeneCodeR","her2+",0.0546578222084186,0.0236176051497802
"test","PNISR","GeneCodeR","her2+",0.00833707556323246,0.00525885822097341
"test","PNMT","GeneCodeR","her2+",0.0865641308896166,0.0348826698925518
"test","PNP","GeneCodeR","her2+",0.0485977184342544,0.0141489279562914
"test","PNPLA6","GeneCodeR","her2+",0.1232616306865,0.0522067829315308
"test","PODNL1","GeneCodeR","her2+",0.0175790093337553,0.0127932049407842
"test","PODXL","GeneCodeR","her2+",0.0318256987116757,0.0105100389877058
"test","POLR2E","GeneCodeR","her2+",0.142396962675514,0.0782545901582667
"test","POLR2J","GeneCodeR","her2+",0.144517785892301,0.0725793583837883
"test","POR","GeneCodeR","her2+",0.163077023779638,0.0799137722137368
"test","POSTN","GeneCodeR","her2+",0.138520094650096,0.0687696823655495
"test","PPHLN1","GeneCodeR","her2+",0.0524118024693457,0.0169095388508493
"test","PPIB","GeneCodeR","her2+",0.0444827042301583,0.03968695081369
"test","PPIH","GeneCodeR","her2+",0.039417510917639,0.0117146918414992
"test","PPM1G","GeneCodeR","her2+",0.131800632918469,0.0522667871519442
"test","PPP1R1A","GeneCodeR","her2+",0.0588029693863798,0.037197882754621
"test","PPP1R1B","GeneCodeR","her2+",0.0339356964582226,0.0191733355567823
"test","PPP1R37","GeneCodeR","her2+",0.0665657242663578,0.0271068541706364
"test","PRKAB1","GeneCodeR","her2+",0.0979527388411276,0.0364206141416154
"test","PRKCSH","GeneCodeR","her2+",0.238886437147768,0.124955483487816
